"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"strstr",0.00784919551721641,0.5592261904761905,0.014035815294224128,0.004597373519824375,3.0530876214076637,70684,"1","","-O2"
"strstr",0.007873098175610814,0.5592142857142857,0.014078857383899784,0.004609032598152702,3.0547038093047485,70684,"1","","-O2"
"strstr",0.007856763261386327,0.5591428571428572,0.014051441704063436,0.004603541885399368,3.0523839764407414,70684,"1","","-O2"
