"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"sglib-queue",0.004627930104732513,0.3382142857142857,0.013683425864045447,0.004478975547782471,3.0551273656118005,71470,"1","","-O1"
"sglib-queue",0.0046299302042382105,0.33817857142857144,0.01369078526968739,0.004485195110360122,3.0525537382676364,71470,"1","","-O1"
"sglib-queue",0.0046425808640037265,0.33817857142857144,0.013728193493727357,0.004492525259234079,3.0558945638398987,71470,"1","","-O1"
