"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"matmult-float",0.007659311453870364,0.5330714285714285,0.01436826482033835,0.004706669111889487,3.052857966488845,73354,"1","","-O2"
"matmult-float",0.00763937104174069,0.533047619047619,0.014331498291634314,0.004694290638225556,3.053061982318932,73354,"1","","-O2"
"matmult-float",0.007667535599470138,0.533047619047619,0.014384335142833028,0.004712221691901074,3.052663121880304,73354,"1","","-O2"
