"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"matmult-float",0.007685514650855745,0.5342380952380953,0.014385935258754848,0.004715040080931344,3.0511833236480803,73354,"1","","-O1"
"matmult-float",0.007695739223957061,0.5342619047619047,0.014404431900093436,0.004720811012982419,3.0513707823153884,73354,"1","","-O1"
"matmult-float",0.007680637190937995,0.5342738095238095,0.01437584447155221,0.004712196614786426,3.0508730876530503,73354,"1","","-O1"
