"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"fasta",0.13842815065920352,9.90577380952381,0.013974491374526755,0.004577840182718712,3.052721597656414,74787,"4294967295","","-O1"
"fasta",0.13885784516215324,9.906761904761904,0.01401647142598715,0.0045917841470449776,3.052593398170502,74787,"4294967295","","-O1"
"fasta",0.13895222263174398,9.907214285714286,0.014025357544966624,0.004594624172033051,3.0526398578794267,74787,"4294967295","","-O1"
