"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"sglib-queue",0.004539792798502105,0.3294404761904762,0.013780312762410176,0.004509394416206681,3.0560773185675116,71486,"1","","-O2"
"sglib-queue",0.004532900097881045,0.3294404761904762,0.013759390316265233,0.0045077021148773174,3.0525822425626963,71486,"1","","-O2"
"sglib-queue",0.004560628358040537,0.3294404761904762,0.013843558055700688,0.0045325779386721715,3.0543937513551116,71486,"1","","-O2"
