"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"statemate",0.004889872267331396,0.37816666666666665,0.012930468754512285,0.004234068467711153,3.0539932755343764,77056,"1","","-O3"
"statemate",0.0049032354040656765,0.37816666666666665,0.012965805387569,0.004243420300252235,3.05561001739281,77056,"1","","-O3"
"statemate",0.004922705494676318,0.37816666666666665,0.013017290862960735,0.004258560308437086,3.0568249716924147,77056,"1","","-O3"
