"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"aha-mont64",0.009157714579020227,0.6853333333333333,0.013362423996624843,0.004371359095167888,3.056935368146149,70856,"1","","-O3"
"aha-mont64",0.00916416312932968,0.6853809523809524,0.013370904308755873,0.004374957169799338,3.0563622880642933,70856,"1","","-O3"
"aha-mont64",0.009159854027714048,0.6853214285714285,0.013365777934024357,0.004373850608991479,3.0559609906310254,70856,"1","","-O3"
