"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"minver",0.007394336806961468,0.5182380952380953,0.014268223187190187,0.0046713208324120755,3.0545585314754087,72281,"4294967295","","-O2"
"minver",0.007413337402939796,0.5182142857142857,0.014305544264804567,0.004684223030453135,3.054100519307805,72281,"4294967295","","-O2"
"minver",0.007409459199224199,0.5182023809523809,0.014298388952993011,0.004681215127415057,3.0545453646024776,72281,"4294967295","","-O2"
