"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"aha-compress",0.006392717010038239,0.45863095238095236,0.01393869510300356,0.004564580882949383,3.053764423466905,70725,"1","","-O2"
"aha-compress",0.006390057450107165,0.45863095238095236,0.013932896192316727,0.00456538963639682,3.0519487396576896,70725,"1","","-O2"
"aha-compress",0.006425216328161103,0.4586190476190476,0.01400992035005536,0.004585741574043129,3.0552018785164767,70725,"1","","-O2"
