"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"newlib-sqrt",0.006996973220535687,0.5213452380952381,0.013420997660014105,0.004398419727289464,3.051443868829636,71958,"1","","-O1"
"newlib-sqrt",0.007012242716891425,0.5213928571428571,0.013449057885674355,0.004407623769714535,3.0514404748398865,71958,"1","","-O1"
"newlib-sqrt",0.007010745633244514,0.5213809523809524,0.013446493588285213,0.004405602867913166,3.0522502969199525,71958,"1","","-O1"
