"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"prime",0.0045207193664993555,0.4201309523809524,0.010760262582129887,0.0035184450244927883,3.058370231720729,70883,"1","","-O1"
"prime",0.004511713419812066,0.42010714285714285,0.010739435157250518,0.0035154299033516106,3.0550664025971264,70883,"1","","-O1"
"prime",0.004521749144707407,0.42010714285714285,0.010763323646332347,0.003519851540582759,3.0580083770349824,70883,"1","","-O1"
