"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"nettle-arcfour",0.005744336200526782,0.4573809523809524,0.012559194191677503,0.004112924761476769,3.0539008359497006,71108,"1","","-O1"
"nettle-arcfour",0.005758198779140199,0.4574047619047619,0.012588847468840163,0.004118510264098368,3.0569499087640217,71108,"1","","-O1"
"nettle-arcfour",0.005742157517245838,0.45739285714285716,0.012554104043326575,0.004111491304804013,3.053721917823261,71108,"1","","-O1"
