"program","energy(J)","time(s)","avg_power(W)","avg_current(A)","avg_voltage(V)","size","correct","warnings","baseflags"
"2dfir",0.004501949064220701,0.31447619047619046,0.014315707199974973,0.004690153421162837,3.052367332269032,72223,"1","","-O3"
"2dfir",0.004510148792266845,0.3144404761904762,0.014343410386946389,0.004700082582440465,3.0518251214778234,72223,"1","","-O3"
"2dfir",0.004503905215093067,0.3144404761904762,0.014323554237224761,0.004693929939210805,3.0515813783103964,72223,"1","","-O3"
